[Cliente 1] tempo di permanenza: 7495ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 54] tempo di permanenza: 5360ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 38] tempo di permanenza: 7492ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 39] tempo di permanenza: 7492ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 40] tempo di permanenza: 3272ms, prodotti acquistati: 91, code cambiate: 0, tempo in coda: 3250ms
[Cliente 57] tempo di permanenza: 4219ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 41] tempo di permanenza: 7491ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 42] tempo di permanenza: 2131ms, prodotti acquistati: 3, code cambiate: 0, tempo in coda: 2023ms
[Cliente 56] tempo di permanenza: 6284ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 43] tempo di permanenza: 8415ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 44] tempo di permanenza: 2253ms, prodotti acquistati: 62, code cambiate: 0, tempo in coda: 2234ms
[Cliente 59] tempo di permanenza: 5143ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 45] tempo di permanenza: 7491ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 46] tempo di permanenza: 7491ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 47] tempo di permanenza: 3610ms, prodotti acquistati: 80, code cambiate: 0, tempo in coda: 3554ms
[Cliente 61] tempo di permanenza: 987ms, prodotti acquistati: 25, code cambiate: 0, tempo in coda: 934ms
[Cliente 48] tempo di permanenza: 1972ms, prodotti acquistati: 9, code cambiate: 0, tempo in coda: 1881ms
[Cliente 55] tempo di permanenza: 6284ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 49] tempo di permanenza: 4388ms, prodotti acquistati: 63, code cambiate: 0, tempo in coda: 4281ms
[Cliente 60] tempo di permanenza: 4026ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 50] tempo di permanenza: 8415ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cassiere 0] clienti serviti: 2, prodotti elaborati: 89, chiusure: 1, periodi di apertura cassa: 3267ms, tempi di servizio dei clienti serviti: 2234ms 1009ms
[Cassiere 1] clienti serviti: 6, prodotti elaborati: 230, chiusure: 0, tempi di servizio dei clienti serviti: 1558ms 368ms 158ms 2258ms 578ms 3448ms
[Cassiere 2] clienti serviti: 3, prodotti elaborati: 209, chiusure: 0, tempi di servizio dei clienti serviti: 1797ms 2182ms 3477ms
[Cassiere 3] clienti serviti: 1, prodotti elaborati: 91, chiusure: 1, periodi di apertura cassa: 3276ms, tempi di servizio dei clienti serviti: 3250ms
[Cassiere 4] clienti serviti: 4, prodotti elaborati: 122, chiusure: 1, periodi di apertura cassa: 3614ms, tempi di servizio dei clienti serviti: 164ms 549ms 2859ms 934ms
[Cassiere 5] clienti serviti: 1, prodotti elaborati: 92, chiusure: 0, tempi di servizio dei clienti serviti: 3264ms
Numero di clienti serviti: 17
Numero di prodotti acquistati: 833
